Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval_1,PromoInterval_2,PromoInterval_3,PromoInterval_4
152,0,0,1780,1,1990,0,0,1990,Jan,Apr,Jul,Oct
153,0,0,16107,10,2000,1,18,2000,Feb,May,Aug,Nov
154,3,2,16107,1,1990,0,0,1990,Jan,Apr,Jul,Oct
155,3,0,3050,1,1990,1,35,1990,Jan,Apr,Jul,Oct
156,0,0,2020,2,2011,1,14,2011,Mar,Jun,Sept,Dec
157,0,2,2950,10,2004,0,0,2004,Jan,Apr,Jul,Oct
158,3,2,11840,1,1990,1,31,1990,Feb,May,Aug,Nov
159,3,0,8530,3,2013,0,0,2013,Jan,Apr,Jul,Oct
160,3,2,16107,11,2005,0,0,2005,Jan,Apr,Jul,Oct
161,0,2,2970,3,2005,0,0,2005,Jan,Apr,Jul,Oct
162,3,2,5340,3,2012,1,13,2012,Jan,Apr,Jul,Oct
163,0,0,1480,4,2009,0,0,2009,Jan,Apr,Jul,Oct
164,0,0,1160,9,2005,1,13,2005,Jan,Apr,Jul,Oct
165,0,0,3720,4,2005,1,13,2005,Jan,Apr,Jul,Oct
166,0,2,100,4,2014,1,31,2014,Jan,Apr,Jul,Oct
167,0,0,140,4,2008,0,0,2008,Jan,Apr,Jul,Oct
168,0,0,12540,1,1990,0,0,1990,Jan,Apr,Jul,Oct
169,3,0,980,7,2014,1,18,2014,Feb,May,Aug,Nov
170,0,0,1070,5,2015,1,14,2015,Jan,Apr,Jul,Oct
171,0,0,2640,1,1990,0,0,1990,Jan,Apr,Jul,Oct
172,0,0,110,1,1990,1,40,1990,Jan,Apr,Jul,Oct
173,0,0,350,12,2012,0,0,2012,Jan,Apr,Jul,Oct
174,0,0,13090,1,1990,1,22,1990,Jan,Apr,Jul,Oct
175,2,0,4130,1,1990,0,0,1990,Jan,Apr,Jul,Oct
176,0,0,3770,1,1990,0,0,1990,Jan,Apr,Jul,Oct
177,0,0,1250,2,2004,1,5,2004,Feb,May,Aug,Nov
178,3,0,1710,1,1990,0,0,1990,Jan,Apr,Jul,Oct
179,0,2,480,1,1990,0,0,1990,Jan,Apr,Jul,Oct
180,3,0,5800,9,2010,0,0,2010,Jan,Apr,Jul,Oct
181,0,0,12610,3,2013,1,14,2013,Jan,Apr,Jul,Oct
182,3,2,1390,1,1990,1,9,1990,Mar,Jun,Sept,Dec
183,0,0,9670,1,1990,0,0,1990,Jan,Apr,Jul,Oct
184,3,2,3560,1,1990,0,0,1990,Jan,Apr,Jul,Oct
185,3,2,1860,5,2015,0,0,2015,Jan,Apr,Jul,Oct
186,0,0,290,10,2011,1,40,2011,Jan,Apr,Jul,Oct
187,0,2,16107,1,1990,0,0,1990,Jan,Apr,Jul,Oct
188,3,0,850,1,1990,1,18,1990,Feb,May,Aug,Nov
189,3,0,5760,7,2014,0,0,2014,Jan,Apr,Jul,Oct
190,0,0,1470,12,2006,1,40,2006,Jan,Apr,Jul,Oct
191,0,0,1100,8,2013,1,40,2013,Jan,Apr,Jul,Oct
192,3,2,2770,3,2008,1,40,2008,Jan,Apr,Jul,Oct
193,0,0,520,1,1990,0,0,1990,Jan,Apr,Jul,Oct
194,3,2,16107,1,1990,1,5,1990,Feb,May,Aug,Nov
195,0,2,220,1,1990,0,0,1990,Jan,Apr,Jul,Oct
196,2,0,3850,11,2005,1,14,2005,Jan,Apr,Jul,Oct
197,2,0,4210,3,2015,0,0,2015,Jan,Apr,Jul,Oct
198,0,0,290,9,2002,1,13,2002,Jan,Apr,Jul,Oct
199,3,2,6360,12,2010,1,14,2010,Mar,Jun,Sept,Dec
200,0,0,1650,10,2000,0,0,2000,Jan,Apr,Jul,Oct
201,3,0,16107,1,1990,1,18,1990,Mar,Jun,Sept,Dec
202,3,2,5140,5,2010,0,0,2010,Jan,Apr,Jul,Oct
203,2,2,490,11,2002,0,0,2002,Jan,Apr,Jul,Oct
204,0,0,5630,12,2002,1,40,2002,Jan,Apr,Jul,Oct
205,0,0,110,12,2007,0,0,2007,Jan,Apr,Jul,Oct
206,0,2,380,1,1990,1,14,1990,Jan,Apr,Jul,Oct
207,0,0,6870,1,1990,0,0,1990,Jan,Apr,Jul,Oct
208,2,0,300,4,2006,0,0,2006,Jan,Apr,Jul,Oct
209,0,2,11680,9,2011,1,31,2011,Jan,Apr,Jul,Oct
210,3,0,970,11,1999,1,5,1999,Feb,May,Aug,Nov
211,0,2,350,11,2006,0,0,2006,Jan,Apr,Jul,Oct
212,0,2,15050,9,2008,0,0,2008,Jan,Apr,Jul,Oct
213,3,2,4030,3,2014,1,1,2014,Jan,Apr,Jul,Oct
214,3,0,8650,7,2013,1,10,2013,Jan,Apr,Jul,Oct
215,3,0,150,1,1990,1,45,1990,Feb,May,Aug,Nov
216,2,0,190,1,1990,1,45,1990,Feb,May,Aug,Nov
217,2,0,3150,1,1990,0,0,1990,Jan,Apr,Jul,Oct
218,0,2,640,1,1990,1,9,1990,Mar,Jun,Sept,Dec
219,0,0,1640,2,2013,0,0,2013,Jan,Apr,Jul,Oct
220,0,0,1000,9,2008,0,0,2008,Jan,Apr,Jul,Oct
221,3,2,13530,9,2013,0,0,2013,Jan,Apr,Jul,Oct
222,0,0,2170,11,2008,0,0,2008,Jan,Apr,Jul,Oct
223,3,2,2920,10,1995,1,27,1995,Jan,Apr,Jul,Oct
224,3,2,7930,1,1990,1,1,1990,Jan,Apr,Jul,Oct
225,3,0,10180,5,2015,0,0,2015,Jan,Apr,Jul,Oct
226,0,0,450,1,1990,0,0,1990,Jan,Apr,Jul,Oct
227,0,0,2370,1,1990,0,0,1990,Jan,Apr,Jul,Oct
228,3,2,10800,1,1990,1,18,1990,Feb,May,Aug,Nov
229,3,2,16107,4,2007,1,14,2007,Jan,Apr,Jul,Oct
230,3,2,6680,9,2013,0,0,2013,Jan,Apr,Jul,Oct
231,3,2,3840,10,2008,1,39,2008,Feb,May,Aug,Nov
232,2,2,13570,5,2010,1,10,2010,Mar,Jun,Sept,Dec
233,0,0,1890,1,1990,0,0,1990,Jan,Apr,Jul,Oct
234,3,0,4370,1,1990,0,0,1990,Jan,Apr,Jul,Oct
235,0,0,5710,3,2012,1,37,2012,Jan,Apr,Jul,Oct
236,0,0,1000,11,2007,0,0,2007,Jan,Apr,Jul,Oct
237,0,0,1420,11,2007,0,0,2007,Jan,Apr,Jul,Oct
238,0,0,320,1,1990,1,45,1990,Feb,May,Aug,Nov
239,3,2,610,1,1990,0,0,1990,Jan,Apr,Jul,Oct
240,0,0,1110,5,2009,0,0,2009,Jan,Apr,Jul,Oct
241,3,2,780,1,1990,0,0,1990,Jan,Apr,Jul,Oct
242,3,0,6880,9,2001,1,14,2001,Jan,Apr,Jul,Oct
243,0,0,310,1,1990,1,5,1990,Feb,May,Aug,Nov
244,3,0,710,3,2012,1,1,2012,Jan,Apr,Jul,Oct
245,0,2,1310,1,1990,0,0,1990,Jan,Apr,Jul,Oct
246,2,0,4660,4,2013,0,0,2013,Jan,Apr,Jul,Oct
247,3,2,70,11,2010,1,5,2010,Feb,May,Aug,Nov
248,0,2,340,9,2012,1,40,2012,Jan,Apr,Jul,Oct
249,3,2,16107,9,2014,0,0,2014,Jan,Apr,Jul,Oct
250,3,0,3520,1,1990,1,18,1990,Feb,May,Aug,Nov
251,0,2,340,1,1990,0,0,1990,Jan,Apr,Jul,Oct
252,3,2,16107,1,1990,1,5,1990,Feb,May,Aug,Nov
253,0,2,250,1,1990,1,5,1990,Feb,May,Aug,Nov
254,3,0,330,3,2008,1,1,2008,Mar,Jun,Sept,Dec
255,2,2,4630,3,2011,1,35,2011,Feb,May,Aug,Nov
256,0,2,80,9,2005,1,10,2005,Mar,Jun,Sept,Dec
257,0,0,420,12,2012,0,0,2012,Jan,Apr,Jul,Oct
258,0,0,16107,7,2010,1,37,2010,Jan,Apr,Jul,Oct
259,1,1,210,1,1990,0,0,1990,Jan,Apr,Jul,Oct
260,0,0,540,10,2011,0,0,2011,Jan,Apr,Jul,Oct
261,3,2,15340,4,2015,1,39,2015,Jan,Apr,Jul,Oct
262,1,0,1180,5,2013,0,0,2013,Jan,Apr,Jul,Oct
263,0,2,1140,5,2013,1,40,2013,Jan,Apr,Jul,Oct
264,0,0,180,3,2014,0,0,2014,Jan,Apr,Jul,Oct
265,0,0,4580,1,1990,1,14,1990,Jan,Apr,Jul,Oct
266,0,2,360,3,2014,1,9,2014,Mar,Jun,Sept,Dec
267,2,0,2460,1,2012,0,0,2012,Jan,Apr,Jul,Oct
268,0,0,4520,2,2014,0,0,2014,Jan,Apr,Jul,Oct
269,0,2,60,6,2015,0,0,2015,Jan,Apr,Jul,Oct
270,0,0,1450,7,2014,0,0,2014,Jan,Apr,Jul,Oct
271,0,0,420,1,1990,1,14,1990,Jan,Apr,Jul,Oct
272,0,0,16107,7,2003,1,14,2003,Jan,Apr,Jul,Oct
273,0,2,8480,1,1990,0,0,1990,Jan,Apr,Jul,Oct
274,1,1,3640,1,1990,1,10,1990,Jan,Apr,Jul,Oct
275,3,0,300,5,2014,1,40,2014,Jan,Apr,Jul,Oct
276,0,0,2960,10,2014,1,36,2014,Mar,Jun,Sept,Dec
277,3,2,7840,1,1990,1,31,1990,Feb,May,Aug,Nov
278,0,2,9260,2,2010,0,0,2010,Jan,Apr,Jul,Oct
279,3,2,2320,1,1990,1,40,1990,Jan,Apr,Jul,Oct
280,3,2,16107,9,2013,1,10,2013,Mar,Jun,Sept,Dec
281,3,2,6970,9,2011,0,0,2011,Jan,Apr,Jul,Oct
282,0,0,1220,12,2010,0,0,2010,Jan,Apr,Jul,Oct
283,0,0,2260,1,1990,1,40,1990,Jan,Apr,Jul,Oct
284,3,0,1290,1,1990,1,40,1990,Jan,Apr,Jul,Oct
285,0,0,2410,1,1990,0,0,1990,Jan,Apr,Jul,Oct
286,0,0,1460,4,2015,0,0,2015,Jan,Apr,Jul,Oct
287,2,0,2740,5,2009,1,40,2009,Jan,Apr,Jul,Oct
288,3,0,800,1,1990,1,14,1990,Mar,Jun,Sept,Dec
289,3,0,6540,12,2007,0,0,2007,Jan,Apr,Jul,Oct
290,0,0,4150,5,2001,0,0,2001,Jan,Apr,Jul,Oct
291,3,0,2325,1,1990,0,0,1990,Jan,Apr,Jul,Oct
292,0,0,1100,6,2009,0,0,2009,Jan,Apr,Jul,Oct
293,2,2,140,11,2007,0,0,2007,Jan,Apr,Jul,Oct
294,0,0,3150,5,2005,0,0,2005,Jan,Apr,Jul,Oct
295,0,0,210,11,2000,1,36,2000,Mar,Jun,Sept,Dec
296,0,0,9580,5,2007,1,45,2007,Feb,May,Aug,Nov
297,0,0,2300,9,2010,0,0,2010,Jan,Apr,Jul,Oct
298,3,0,16107,7,2009,0,0,2009,Jan,Apr,Jul,Oct
299,3,2,16107,9,2012,0,0,2012,Jan,Apr,Jul,Oct
300,0,2,120,4,2009,1,1,2009,Jan,Apr,Jul,Oct
301,0,2,4510,3,2015,0,0,2015,Jan,Apr,Jul,Oct
302,3,2,2190,12,2007,1,9,2007,Mar,Jun,Sept,Dec
303,0,0,15430,11,2012,1,18,2012,Feb,May,Aug,Nov
304,0,0,1950,7,2015,0,0,2015,Jan,Apr,Jul,Oct
305,2,2,2470,2,2005,1,31,2005,Mar,Jun,Sept,Dec
306,0,0,5100,4,2007,1,40,2007,Jan,Apr,Jul,Oct
307,0,0,16107,9,2002,0,0,2002,Jan,Apr,Jul,Oct
308,0,0,1070,12,2006,1,13,2006,Jan,Apr,Jul,Oct
309,3,0,8740,1,1990,1,37,1990,Feb,May,Aug,Nov
310,0,2,2290,1,1990,1,10,1990,Mar,Jun,Sept,Dec
311,0,2,680,7,2005,0,0,2005,Jan,Apr,Jul,Oct
312,3,0,11300,3,2012,0,0,2012,Jan,Apr,Jul,Oct
313,3,2,14160,1,1990,0,0,1990,Jan,Apr,Jul,Oct
314,0,0,3560,10,2001,1,31,2001,Feb,May,Aug,Nov
315,0,2,16107,4,2013,0,0,2013,Jan,Apr,Jul,Oct
316,3,0,9000,8,2001,0,0,2001,Jan,Apr,Jul,Oct
317,3,0,3140,7,2013,1,14,2013,Jan,Apr,Jul,Oct
318,3,2,16107,3,2014,0,0,2014,Jan,Apr,Jul,Oct
319,0,2,570,9,2012,1,27,2012,Mar,Jun,Sept,Dec
320,0,2,210,9,2012,0,0,2012,Jan,Apr,Jul,Oct
321,2,2,8140,11,2013,1,10,2013,Mar,Jun,Sept,Dec
322,0,0,16107,4,2001,1,37,2001,Jan,Apr,Jul,Oct
323,3,2,8400,4,2012,1,5,2012,Feb,May,Aug,Nov
324,0,0,13140,1,1990,1,14,1990,Jan,Apr,Jul,Oct
325,0,2,350,3,2011,1,22,2011,Feb,May,Aug,Nov
326,3,0,10070,5,2015,1,31,2015,Feb,May,Aug,Nov
327,2,2,1390,12,2004,0,0,2004,Jan,Apr,Jul,Oct
328,0,0,3130,7,2002,0,0,2002,Jan,Apr,Jul,Oct
329,0,0,1310,6,1990,1,22,1990,Mar,Jun,Sept,Dec
330,0,2,370,1,1990,1,22,1990,Mar,Jun,Sept,Dec
331,0,2,670,1,1990,1,14,1990,Jan,Apr,Jul,Oct
332,0,0,1840,3,2006,0,0,2006,Jan,Apr,Jul,Oct
333,0,2,3720,2,2010,0,0,2010,Jan,Apr,Jul,Oct
334,3,2,4040,8,2008,1,18,2008,Mar,Jun,Sept,Dec
335,1,0,90,1,1990,1,31,1990,Jan,Apr,Jul,Oct
336,0,0,190,7,2014,0,0,2014,Jan,Apr,Jul,Oct
337,3,2,10600,7,2005,1,45,2005,Feb,May,Aug,Nov
338,0,2,1590,1,1990,1,37,1990,Jan,Apr,Jul,Oct
339,0,2,2280,1,1990,1,10,1990,Mar,Jun,Sept,Dec
340,0,2,8080,1,1990,0,0,1990,Jan,Apr,Jul,Oct
341,0,0,190,9,2011,0,0,2011,Jan,Apr,Jul,Oct
342,3,2,15770,1,1990,1,40,1990,Jan,Apr,Jul,Oct
343,3,0,16107,4,2004,1,14,2004,Jan,Apr,Jul,Oct
344,0,2,300,4,2011,1,14,2011,Jan,Apr,Jul,Oct
345,0,0,120,1,1990,1,22,1990,Jan,Apr,Jul,Oct
346,0,2,8090,1,1990,0,0,1990,Jan,Apr,Jul,Oct
347,3,2,9360,7,2013,1,22,2013,Mar,Jun,Sept,Dec
348,0,0,16107,1,1990,1,22,1990,Jan,Apr,Jul,Oct
349,2,2,1490,4,2009,0,0,2009,Jan,Apr,Jul,Oct
350,3,0,8880,1,1990,1,14,1990,Jan,Apr,Jul,Oct
351,0,0,5290,11,2012,1,5,2012,Feb,May,Aug,Nov
352,3,2,6360,1,1990,1,40,1990,Mar,Jun,Sept,Dec
353,1,1,900,1,1990,1,14,1990,Feb,May,Aug,Nov
354,3,2,1500,10,2005,0,0,2005,Jan,Apr,Jul,Oct
355,0,2,9720,8,2013,0,0,2013,Jan,Apr,Jul,Oct
356,3,2,8970,12,2007,1,22,2007,Feb,May,Aug,Nov
357,0,0,2060,10,2008,0,0,2008,Jan,Apr,Jul,Oct
358,0,0,2890,10,2003,0,0,2003,Jan,Apr,Jul,Oct
359,3,2,4370,1,1990,0,0,1990,Jan,Apr,Jul,Oct
360,0,0,2040,6,2007,0,0,2007,Jan,Apr,Jul,Oct
361,2,2,4490,5,2014,1,5,2014,Feb,May,Aug,Nov
362,2,2,340,1,1990,0,0,1990,Jan,Apr,Jul,Oct
363,0,0,250,9,2009,0,0,2009,Jan,Apr,Jul,Oct
364,0,2,13620,1,1990,1,10,1990,Mar,Jun,Sept,Dec
365,2,0,2410,1,1990,1,45,1990,Feb,May,Aug,Nov
366,3,2,6470,12,2004,0,0,2004,Jan,Apr,Jul,Oct
367,3,2,2640,9,2012,0,0,2012,Jan,Apr,Jul,Oct
368,3,2,1450,4,2005,1,45,2005,Feb,May,Aug,Nov
369,3,2,5870,4,2014,0,0,2014,Jan,Apr,Jul,Oct
370,3,0,8250,10,2000,1,31,2000,Jan,Apr,Jul,Oct
371,3,2,1970,7,2009,1,45,2009,Feb,May,Aug,Nov
372,3,2,4880,8,2010,1,18,2010,Jan,Apr,Jul,Oct
373,3,2,11120,1,1990,1,22,1990,Jan,Apr,Jul,Oct
374,0,0,1150,9,2007,0,0,2007,Jan,Apr,Jul,Oct
375,0,2,15710,2,2013,1,37,2013,Jan,Apr,Jul,Oct
376,0,0,160,8,2012,0,0,2012,Jan,Apr,Jul,Oct
377,0,2,100,6,2010,1,18,2010,Feb,May,Aug,Nov
